D,k,gamma,phi_c,theta_p,theta_i,app,api,bip,bii,diameter,roughness,living_agents,velocity,steps_taken,model_id
0.0003143177750334144,0.01660638425499201,0.002538960715197027,0.010969375558197499,0.3504627022892237,0.198078390955925,-0.809241175558418,-0.02651070158928633,0.048407758809626104,0.35248232041485605,36.331430697492834,7.818699421158392,4243,0.04078835397432229,899,1719880882_4592_10
0.0006745388107653708,0.025567096956074238,0.004985059903422371,0.03878504134714603,0.28440874181687836,0.42482056394219403,-0.5114584499504418,-0.024839003123342994,0.010361841283738613,0.35248232041485605,40.56771055445729,9.796701594364862,3308,0.0828730642997847,540,1719880918_4592_11
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,13.569488679998685,2.6487733765457753,251,0.013927396847015862,1000,1719880959_4592_12
0.0001730205743946135,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,13.545604892816652,3.1350325937548824,153,0.014021848606097231,1000,1719881000_4592_13
0.0008012602468207479,0.04116727285087109,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,13.88211403893222,2.944581281019362,265,0.014285697801702968,1000,1719881042_4592_14
0.0008012602468207479,0.04462474565953017,0.00043195916716940705,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,5.844831343541428,1.4786711166217268,104,0.005908434200107484,1000,1719881083_4592_15
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.025887125022709373,0.1656260248273611,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,13.520639507464105,3.5149178197424664,291,0.013739886784370981,1000,1719881125_4592_16
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.4990115467458963,0.4527022629976273,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,10.037968750139644,2.999919199783416,171,0.010434724648885401,1000,1719881166_4592_17
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.2546695195138454,-0.27438334007747467,-0.03574062269181014,0.025759714283049108,0.8882322452031075,14.187575578861635,2.663116429668924,258,0.014478747633436824,1000,1719881209_4592_18
0.0008012602468207479,0.04462474565953017,0.00113335828804411,0.038373663239181045,0.1656260248273611,0.4527022629976273,-0.25311175044626,-0.03574062269181014,0.025759714283049108,0.8882322452031075,13.642264337309726,2.5584078506556804,241,0.013958010074346378,1000,1719881252_4592_19
