,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
767,3.76,0.7068185034363489,232.56,14.189442708041778,534.76,68.76798606384223,0.005006297354426319,0.001022391445051946,0.3184935790005574,0.013675522523515943,0.6765001236450164,0.013720217817838054,7.8449898950166554,0.32720234600162,1.2450840625736572,0.07680352552043282,,
768,3.6,0.7099421948299734,233.14,14.3759831278699,536.14,68.80018813006835,0.00492126396410564,0.001020093718511831,0.3182458039885077,0.013363599518335724,0.6768329320473867,0.013630161828841086,7.850512549047519,0.32465854270549627,1.2376093039629215,0.07682224652557369,,
769,4.0,0.7270516900468631,233.3,14.31817227442106,537.58,68.96157074860751,0.005392818229134121,0.0009997479368481085,0.31770335947373846,0.013458326885365506,0.6769038222971276,0.013644608813721199,7.87746132977506,0.32266707960957597,1.2443871108005486,0.07695354877137017,,
770,4.28,0.8801076588690724,233.12,14.049647495193607,539.62,69.37699879253353,0.005549151603757289,0.0012059343151686417,0.3169301184137676,0.013619531564806562,0.6775207299824753,0.01377648314896069,7.880002108208183,0.32275062509686026,1.2530673473313314,0.07606413350945311,,
771,4.6,0.8241328048318425,233.48,14.077793565299928,541.24,69.61069202067164,0.006285841113789275,0.0011939780286184594,0.31635749608317193,0.01359697112876085,0.6773566628030389,0.013901694632615987,7.9040035252225564,0.32477294388704786,1.2499745699780125,0.07351000819878521,,
772,4.04,0.7720708444177903,234.54,14.092845422724253,542.76,69.66660703031835,0.005335716904629183,0.0009941824907920332,0.31714367397863613,0.013850189455808595,0.6775206091167347,0.014036155417399035,7.903022962695231,0.3258739673568707,1.2514702536846583,0.07573292768944866,,
773,4.44,0.8609019716553098,234.1,14.184036694819989,545.02,69.75684861221299,0.006227887992676639,0.0014258137620097367,0.31533457736266324,0.013524176340770902,0.6784375346446601,0.014067260366912112,7.925022343966209,0.3240130758980009,1.2536079864431313,0.07686155472660293,,
774,4.0,0.8516419905100969,235.18,14.14676785994596,546.38,69.83028387754985,0.0049774999162411696,0.000987918680171555,0.3163970083881285,0.014050338387681258,0.6786254916956302,0.013907717101268749,7.9348300186583325,0.3246607373720045,1.2572147132971419,0.07533447557028382,,
775,4.12,0.7305096434681749,235.36,14.102933176215506,548.14,70.24095313257644,0.005556339012894058,0.0011118222028264184,0.3156795615198956,0.013822567771820966,0.6787640994672103,0.014068018142662944,7.945340080262234,0.3221432971003134,1.2546277055822224,0.0754994413152962,,
776,3.76,0.6619114720262823,236.34,14.161306950306528,549.4,70.38567131455093,0.005402867947459732,0.0012028350139340143,0.31597691096506025,0.013569861667073626,0.6786202210874799,0.014012693871592504,7.962480344580828,0.32530467779998057,1.2592789133132285,0.07591039060941468,,
777,3.64,0.7736614329278664,236.54,13.760284378921824,551.14,70.50050001987785,0.004511599897335528,0.0008389657497455869,0.3161016577210469,0.013756663502127044,0.6793867423816177,0.01375554425403982,7.976709706046616,0.32535360300313004,1.2585882329120697,0.07623676379794346,,
778,4.6,0.8090788836695715,236.06,13.914554493939072,552.96,70.56437632650628,0.006048055751341438,0.0011888116577934294,0.3142341194619707,0.013502665618172075,0.6797178247866879,0.013686684920509755,7.9940891304146655,0.3235840137607442,1.2667008750011324,0.07936462852434487,,
779,4.4,0.8222661369653987,236.7,13.742633331352474,554.72,70.9076325192937,0.005961563779005815,0.0012694904288948028,0.3143508905518203,0.013489483683136964,0.6796875456691741,0.013965446114557549,8.011743577090078,0.3275510369083812,1.2710763844501836,0.07728734726117074,,
