,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf
26,0.16,0.15039727657108695,8.92,1.3291517126347918,0.0,0.0,0.018593073593073592,0.019269172170678483,0.9814069264069264,0.019269172170678483,0.0,0.0,0.1296649831220389,0.08672183110213043,0.05633164978870555,0.04423037584795202
27,0.32,0.33921026399565213,8.92,1.3418086134766016,0.0,0.0,0.026158433070197776,0.03056031543654685,0.9738415669298023,0.03056031543654685,0.0,0.0,0.12495093791412856,0.08165641708021759,0.06349021147463808,0.04820098293954958
28,0.24,0.1801494845954326,9.12,1.3821988927791837,0.0,0.0,0.029420634920634924,0.02666672342401367,0.9705793650793652,0.026666723424013675,0.0,0.0,0.12495093791412856,0.08165641708021759,0.06349021147463808,0.04820098293954958
29,0.28,0.19235979621532143,9.22,1.4049686869108506,0.0,0.0,0.030008547008547007,0.023607312844396693,0.969991452991453,0.02360731284439669,0.0,0.0,0.12495093791412856,0.08165641708021759,0.06349021147463808,0.04820098293954958
30,0.24,0.2115347649914785,9.38,1.4056247647220788,0.0,0.0,0.015013184065815643,0.013986739848401639,0.9849868159341844,0.013986739848401642,0.0,0.0,0.12495093791412856,0.08165641708021759,0.06349021147463808,0.04820098293954958
31,0.08,0.10863422665072005,9.58,1.4772628050553502,0.0,0.0,0.005497076023391813,0.008821472656905478,0.9945029239766082,0.008821472656905468,0.0,0.0,0.1286886723926607,0.0838540637233274,0.0644822287244172,0.04887965864813725
32,0.24,0.21153476499147852,9.54,1.474264002409338,0.0,0.0,0.017714285714285714,0.015753251121241253,0.9822857142857143,0.015753251121241253,0.0,0.0,0.1286886723926607,0.0838540637233274,0.0644822287244172,0.04887965864813725
33,0.32,0.20323602830207044,9.62,1.5541106843465167,0.0,0.0,0.030058709662726876,0.02290516458263719,0.969941290337273,0.022905164582637187,0.0,0.0,0.1286886723926607,0.0838540637233274,0.0644822287244172,0.04887965864813725
34,0.24,0.18014948459543267,9.82,1.6045111165710255,0.0,0.0,0.02338888888888889,0.02090940271448573,0.976611111111111,0.020909402714485735,0.0,0.0,0.14979730632859556,0.09020877562598921,0.07671073817959599,0.05362553692958958
35,0.36,0.2644765638010295,9.88,1.5909985352601679,0.0,0.0,0.023776386152547145,0.017879875825771257,0.9762236138474529,0.017879875825771264,0.0,0.0,0.1356551707048646,0.08763256750814599,0.06256860255586505,0.04752593780535366
36,0.2,0.199881564932837,10.14,1.686975996509731,0.0,0.0,0.012536516055697642,0.012576223362059337,0.9874634839443023,0.012576223362059328,0.0,0.0,0.13679898987322334,0.08846615665125925,0.04923526922253171,0.041113240213507846
37,0.28,0.22202569941337869,10.2,1.7679156540966539,0.0,0.0,0.02206114786340068,0.019128620512785192,0.9779388521365994,0.0191286205127852,0.0,0.0,0.13776955262170046,0.0892106805891941,0.060200464068597276,0.04538720115490414
38,0.28,0.22202569941337855,10.34,1.832456400791026,0.0,0.0,0.024984848484848485,0.02348947668163042,0.9750151515151515,0.02348947668163042,0.0,0.0,0.1615072871002326,0.09283109570620669,0.0811924813183764,0.05172921179806175
39,0.28,0.1923597962153214,10.48,1.839679012001822,0.0,0.0,0.018232224642162533,0.013929779512844036,0.9817677753578374,0.013929779512844031,0.0,0.0,0.18564942272396354,0.09553091289714533,0.10533461694210734,0.05901190025549101
40,0.16,0.15039727657108698,10.68,1.9030701729573714,0.0,0.0,0.010103030303030303,0.010842094611504344,0.9898969696969698,0.010842094611504344,0.0,0.0,0.18450560355560483,0.09480478613180583,0.11866795027544068,0.06273660239139257
41,0.44,0.29936072688313703,10.62,1.9251071708349117,0.0,0.0,0.029643102279930916,0.02180674601168712,0.9703568977200691,0.021806746011687115,0.0,0.0,0.2186477391793358,0.10116991732789025,0.13281008589917165,0.0665654050608191
42,0.28,0.22202569941337863,10.92,2.0078973168964587,0.0,0.0,0.021244864297495877,0.01976569616176811,0.9787551357025042,0.01976569616176811,0.0,0.0,0.2219810725126691,0.10208474571180323,0.13223817631499227,0.0663318564552874
43,0.28,0.2220256994133787,11.06,2.056719068030439,0.0,0.0,0.02236643859285369,0.019128449627226974,0.9776335614071463,0.019128449627226974,0.0,0.0,0.23763564256444508,0.10542047794977571,0.13275019690588993,0.06652088424471776
44,0.36,0.21298265844899206,11.16,2.095906367374268,0.0,0.0,0.03605235310498468,0.024212700659038116,0.9639476468950153,0.02421270065903812,0.0,0.0,0.2706339590198173,0.11080306174196473,0.16022566586295425,0.07028214523256404
45,0.32,0.2315124255844596,11.36,2.0851747199695274,0.0,0.0,0.027082251082251083,0.020642032584764665,0.972917748917749,0.020642032584764672,0.0,0.0,0.2629967296046735,0.10753270231847639,0.15570658565507345,0.07035316338645643
46,0.12,0.1316559880901739,11.62,2.161971512115736,0.0,0.0,0.007004784688995216,0.008731436073522243,0.9929952153110048,0.008731436073522239,0.0,0.0,0.2904721985617378,0.11372225584929264,0.15927681169462504,0.06990273419402467
47,0.24,0.18014948459543265,11.62,2.1909188253333354,0.0,0.0,0.02078489326765189,0.01883239247190542,0.979215106732348,0.01883239247190545,0.0,0.0,0.2663300629380069,0.10828900709956536,0.1551346760708941,0.0701465738051808
48,0.32,0.20323602830207038,11.7,2.227339722628768,0.0,0.0,0.024542846432092483,0.017690970575219005,0.9754571535679075,0.017690970575219005,0.0,0.0,0.3140424246012894,0.11625872428134396,0.17471964462801945,0.07330134421403252
49,0.2,0.16631151493507584,11.92,2.2714632718140084,0.0,0.0,0.014904761904761905,0.014098468821510769,0.9850952380952381,0.014098468821510755,0.0,0.0,0.26966339627134017,0.10903223684547414,0.15456276648671471,0.06993901467865295
50,0.32,0.2032360283020704,11.96,2.291748805781297,0.0,0.0,0.024293394166103904,0.019340597030358883,0.9757066058338961,0.019340597030358883,0.0,0.0,0.3143283793933791,0.11637881003056987,0.17294393405036954,0.07246187892552174
51,0.2,0.16631151493507595,12.18,2.3498364715869053,0.0,0.0,0.014465674110835403,0.013476641438459395,0.9855343258891647,0.013476641438459393,0.0,0.0,0.29706415044375367,0.11733079374965824,0.17641325325328874,0.07287462332431416
52,0.24,0.1801494845954327,12.26,2.3694511256407034,0.0,0.0,0.017004608294930872,0.015104271664333526,0.982995391705069,0.015104271664333528,0.0,0.0,0.3468478066118586,0.12507200438473398,0.19968216598303457,0.07679374948602077
53,0.24,0.2115347649914785,12.38,2.406822540030735,0.0,0.0,0.012757107023411372,0.011498864037435866,0.9872428929765885,0.011498864037435856,0.0,0.0,0.3261646615238883,0.12258934357423318,0.19844577845286374,0.07848345975632501
54,0.24,0.1801494845954326,12.5,2.4519592166265736,0.0,0.0,0.0127682668208984,0.010327856910597767,0.9872317331791014,0.010327856910597772,0.0,0.0,0.3519030594287419,0.12679946003102396,0.20198913452779943,0.07787632868972058
55,0.32,0.2315124255844598,12.58,2.5168048544136266,0.0,0.0,0.025668403491932903,0.019815726916619356,0.9743315965080671,0.01981572691661933,0.0,0.0,0.3333328333891903,0.12153738837649712,0.20520655563224938,0.07792053088695534
56,0.32,0.20323602830207038,12.74,2.5282085508913212,0.0,0.0,0.023220824449182657,0.017010647492880403,0.9767791755508174,0.017010647492880407,0.0,0.0,0.3635697260954086,0.12650036058201006,0.21122129814982318,0.07811802787094839
57,0.4,0.24792256855720082,12.86,2.5603392300240224,0.0,0.0,0.027475614581496933,0.018982690162587027,0.9725243854185031,0.018982690162587024,0.0,0.0,0.33747496901292123,0.12223752759845218,0.20934869125598035,0.07952255982791037
58,0.2,0.1663115149350759,13.16,2.6157652151521544,0.0,0.0,0.011962105527322917,0.010896967740164193,0.9880378944726772,0.010896967740164194,0.0,0.0,0.40616390588069834,0.13041232008743084,0.22724162199909262,0.080352440255516
59,0.56,0.40037767769944416,12.94,2.3982007682427255,0.14,0.27164214106062373,0.032441575378195094,0.02299581347822941,0.9655865936358894,0.02346669787945178,0.001971830985915493,0.003825945648741191,0.39686813867143433,0.12734473650180433,0.24024427191052278,0.08348385373136132
60,0.28,0.22202569941337866,13.36,2.4994480696345747,0.14,0.27164214106062373,0.015421356421356423,0.01429323302746122,0.9826341991341992,0.01490713170891572,0.0019444444444444444,0.0037728075147308946,0.4007733815889471,0.12818337201962982,0.23570521445074658,0.08174297145136289
61,0.52,0.2893374279280163,13.38,2.5191238832578278,0.14,0.27164214106062373,0.03205712194842629,0.017984081630740008,0.9660509861596818,0.018528278643942825,0.001891891891891892,0.003670839744062487,0.4348626022706265,0.1329178395752723,0.2476664563825591,0.08312985720758766
62,0.32,0.2796144545619914,13.74,2.6166168838406594,0.14,0.27164214106062373,0.01903213083213083,0.016771703459632553,0.9791012025012026,0.01722202218286514,0.0018666666666666666,0.0036218952141416553,0.41862570956440825,0.130768900551975,0.24118986782611215,0.08238680130000856
63,0.12,0.1316559880901739,14.0,2.6742330788470925,0.14,0.27164214106062373,0.006515620602307909,0.008358754243380494,0.9916422741345342,0.009394077644178102,0.0018421052631578947,0.003574238698166114,0.44411943718133307,0.13504525028804806,0.23847099936065208,0.08169130748465607
64,0.36,0.24011399959186053,13.94,2.6744686584067487,0.14,0.27164214106062373,0.01753074998794546,0.012676118095298058,0.9806510681938727,0.013247205109666545,0.0018181818181818182,0.003527820013774331,0.430273068766866,0.13332417918093495,0.2463779736064173,0.08243414279469463
65,0.44,0.2780714383031814,14.08,2.7483868932884974,0.14,0.27164214106062373,0.024782901478553655,0.017575276626409723,0.9734222267265747,0.017923600899880585,0.0017948717948717949,0.003482591552059284,0.49684161126178994,0.13426690335389027,0.28466224485387925,0.08458224318492528
