,Unnamed: 0,P_count,P_count_conf,I_count,I_count_conf,N_count,N_count_conf,P_fraction,P_fraction_conf,I_fraction,I_fraction_conf,N_fraction,N_fraction_conf,radius,radius_conf,roughness,roughness_conf,velocity,velocity_conf
1359,1359,7.957446808510638,2.569309642594448,428.3191489361702,47.861003645651664,1907.8085106382975,298.4495715315797,0.0037379597130997,0.0010790893088914,0.2017232113679384,0.0129454595813009,0.7945388289189619,0.0133478581879706,15.348583194829551,1.4167081616688244,3.981963530741631,0.5586284542108869,,
1360,1360,8.851063829787234,3.742509218450292,430.468085106383,48.04598576440246,1909.1914893617025,298.57196600410055,0.0035343115239315,0.0014687106685208,0.2026762350678711,0.0131777885302379,0.7937894534081974,0.0133867543569238,15.317893578961655,1.4225600279221773,3.9891859342735527,0.5562574184128386,,
1361,1361,7.659574468085107,2.0269778877352924,432.3617021276596,49.00950806878058,1912.3191489361704,298.7916449021956,0.0034890485070039,0.0008300488626651,0.2023301879273624,0.0129917432039619,0.7941807635656338,0.0132582567938827,15.336677709691395,1.411273250679968,3.980692871367765,0.5522206846727793,,
1362,1362,9.702127659574469,4.02243552536817,431.531914893617,48.671826858916496,1915.957446808511,299.05081009896776,0.0044010600131325,0.0015682325898013,0.201433234500439,0.012711277353245,0.7941657054864283,0.0133057321309333,15.385657688079196,1.422146157552489,3.997641033451834,0.5570746468874246,,
1363,1363,9.361702127659576,2.8894642797265258,433.93617021276594,49.18989681022215,1918.5744680851064,299.24354109529,0.0037827584925794,0.0010551142585153,0.2023409947070039,0.0130839481264172,0.7938762468004168,0.0133273541818443,15.41473372504714,1.4182993867736655,3.988139983396523,0.5643363124579392,,
1364,1364,8.893617021276595,3.379279644693748,437.0212765957447,50.08178956760805,1920.404255319149,299.5300404982888,0.0038844614481169,0.0012657239256626,0.2029825721186912,0.0130426190496811,0.7931329664331918,0.0134872793332511,15.42651474692636,1.425075428761484,4.007798863312123,0.5607435664135804,,
1365,1365,9.4468085106383,2.9855977173278165,439.4255319148936,50.41118868066231,1922.1702127659576,299.8169606988878,0.0040385260140169,0.0010588721575378,0.2035920270031514,0.0131539564672656,0.7923694469828316,0.0136162795074009,15.392332476742284,1.420185509826686,3.9985623133345047,0.5601910798826921,,
1366,1366,7.276595744680851,3.0197075478627573,443.6808510638298,51.42527107990129,1923.723404255319,300.0619252358971,0.0031857522449685,0.0011493595823229,0.2050237513769234,0.0132662750788193,0.7917904963781079,0.0138403016969002,15.400168535082964,1.419767634372319,4.0371438509475,0.5663833226222271,,
1367,1367,8.25531914893617,2.1511735131546725,444.7659574468085,52.002543585818295,1925.787234042553,300.54330183178985,0.0031734791702833,0.0008068918985958,0.2055268567712344,0.0138216305689314,0.7912996640584818,0.0140213462153438,15.397026198948478,1.420580046787556,4.042829111853079,0.5644159344383445,,
1368,1368,8.936170212765957,2.5998888765531243,446.25531914893617,52.473920565518,1928.085106382979,300.95820726408385,0.003904141769612,0.0009073541604069,0.2053021405215722,0.0137281082238518,0.7907937177088158,0.0142699132395725,15.443660245331875,1.424538194735793,4.055821111962416,0.56472194338658,,
1369,1369,7.23404255319149,1.8670380824126025,448.8936170212766,53.30671370755816,1930.7659574468084,301.35402623895965,0.0032627557599228,0.0007318878554491,0.2060637291042527,0.0140338953670729,0.7906735151358245,0.0144013287917028,15.451048405905505,1.4138669943604243,4.07343420592568,0.5705856540769935,,
1370,1370,8.340425531914894,2.1727381573116222,449.5531914893617,53.63826834989075,1933.1702127659576,301.6610871327698,0.0032105647761646,0.0007299140715882,0.2063925132559339,0.014366642100442,0.7903969219679016,0.0145347861555434,15.470380038663698,1.4152305367502085,4.048980531390892,0.563176460604551,,
1371,1371,8.0,2.063307325841008,452.0212765957447,54.37344958244526,1935.042553191489,301.8286723271591,0.0036357104697225,0.0008544026997969,0.2065942726231135,0.014210812186014,0.7897700169071643,0.0147272317313495,15.486439030950534,1.4149069076846408,4.065599942728517,0.5751821494500993,,
1372,1372,6.170212765957447,1.7448432831893743,454.9574468085106,55.049144963241154,1937.021276595745,302.05818315094365,0.0024614503104298,0.0006338880552978,0.2078553660327442,0.0145572556282283,0.789683183656826,0.0147711809528871,15.518060957317878,1.425923258035836,4.077457527153845,0.5736219643303321,,
1373,1373,8.297872340425531,1.7731153207091208,454.17021276595744,55.30857209887648,1939.8297872340424,302.7067125463041,0.0031040632925847,0.0005820124973757,0.2073335635239702,0.0148283653179313,0.789562373183445,0.0148694429551393,15.512482405586873,1.4258349366724437,4.053982398472981,0.5703967214549918,,
1374,1374,6.382978723404255,1.4476744406236113,456.3191489361702,55.86908940227207,1942.787234042553,302.98971746427696,0.0027656503280325,0.0005338471215371,0.2075381578627035,0.0146454008262131,0.7896961918092641,0.0149543703387824,15.51176112889141,1.4253258748100313,4.098744612660676,0.5741235316837858,,
1375,1375,8.638297872340425,1.820072659194704,453.531914893617,55.65123080677973,1947.6382978723404,303.60910012646974,0.0032186283639343,0.0005460299935292,0.2065083572629016,0.0149555262850395,0.7902730143731642,0.0149381893761186,15.543522171847362,1.4268659935819692,4.054460482230318,0.5753748670207298,,
1376,1376,8.425531914893616,1.6169939432061196,455.3404255319149,56.202595850424295,1950.255319148936,304.03404836100964,0.0034324366933404,0.0006599847707588,0.206189699129401,0.0145984813755961,0.790377864177259,0.0147491160889876,15.504804326445228,1.4222434196747464,4.063673372967733,0.5742134318620009,,
1377,1377,6.97872340425532,1.564234925640595,458.25531914893617,56.88202217178962,1952.276595744681,304.1440592544988,0.0031959435875386,0.00085578563987,0.2067878002524091,0.0144877316015335,0.7900162561600522,0.0149245739885527,15.552764861674028,1.4224365790300502,4.079841084710326,0.5763143680338038,,
1378,1378,8.085106382978724,1.375323003548915,458.531914893617,57.47363726436218,1954.936170212766,304.2477684207943,0.003662744270063,0.0005424095920697,0.2064005125580373,0.0146540214215232,0.7899367431718995,0.0149538885291136,15.570218341485209,1.4178572690111582,4.081381753683941,0.5728515117701585,,
1379,1379,7.531914893617022,1.4408082859293374,459.9148936170213,57.533638213131546,1957.872340425532,304.5103046332581,0.0029585740087032,0.0004675139565694,0.207041291452207,0.0148376514630882,0.7900001345390895,0.0149335491423055,15.58284596384314,1.4234889469464198,4.127252821256613,0.5766963349432764,,
1380,1380,6.170212765957447,1.247331689867588,461.8510638297872,57.93921927782653,1960.382978723404,304.87765028991856,0.0025933889253819,0.0004477360387095,0.2075190292726804,0.0148804342371666,0.7898875818019374,0.0150257703749008,15.610122848393832,1.4264923239840126,4.0999335120891125,0.5809015641942029,,
1381,1381,7.702127659574468,1.586780910539526,460.48936170212767,57.71441502876253,1964.063829787234,304.99258918719687,0.0032175684027622,0.0005337116855071,0.2063428893165176,0.0145721951922088,0.7904395422807201,0.0148840544921827,15.606633467955144,1.4256593748112052,4.093251665507408,0.579033302835589,,
1382,1382,7.48936170212766,1.4226139659559234,461.5744680851064,58.38282218177293,1966.936170212766,305.0418333774314,0.0029679775589986,0.0004719235943247,0.206419991139743,0.0147942294838881,0.7906120313012582,0.0148488679885479,15.628646091747251,1.4314821187509283,4.114083301454488,0.5810589494921948,,
1383,1383,6.0,1.0282767187931228,463.531914893617,58.99537524781822,1969.468085106383,305.2582177277288,0.002579928413171,0.0004766902349077,0.2066846379077652,0.0147555037882996,0.7907354336790637,0.0148591516316416,15.60168037528948,1.4215417023441623,4.113755996353657,0.5797728223415798,,
1384,1384,7.23404255319149,1.7477249421026575,463.6170212765957,58.6058845685092,1971.7659574468084,305.3990465502911,0.0027128862976497,0.0005812082551385,0.2065995819737782,0.0146668140843087,0.7906875317285716,0.0148103443431768,15.6410350730266,1.4248622273325864,4.150461404006862,0.5842583703240011,,
1385,1385,6.97872340425532,1.5236856782478747,464.6808510638298,59.11985508184974,1974.4468085106384,305.65780251851527,0.0028140943530129,0.0006759171518527,0.2065554615331507,0.0146725944192331,0.7906304441138362,0.0148113041666185,15.653973498428687,1.435133142950862,4.148141075712095,0.5875256279888431,,
